date,start,startformat,end,endformat,categorynum,category,details,amount,work,anxiety,attempts,day,times
03-25,22:00:00,03/25/2020 22:00:00,11:00 PM,03/25/2020 23:00:00,4,Socializing,Facetime,2,school,6,4,Wednesday,
03-25,23:00:00,03/25/2020 23:00:00,12:00 AM,03/25/2020 00:00:00,4,Socializing,Facetime,2,school,6,5,Wednesday,
03-26,13:00:00,03/26/2020 13:00:00,2:00 PM,03/26/2020 14:00:00,2,Media Consumption,Youtube,1,school,4,1,Thursday,
03-26,17:00:00,03/26/2020 17:00:00,6:00 PM,03/26/2020 18:00:00,3,Social Media,Twitter,1,school,4,3,Thursday,
03-26,18:00:00,03/26/2020 18:00:00,7:00 PM,03/26/2020 19:00:00,6,Hobby,Photoshop,1,school,4,0,Thursday,
03-26,19:00:00,03/26/2020 19:00:00,8:00 PM,03/26/2020 20:00:00,6,Hobby,Photoshop,1,school,4,0,Thursday,
03-26,23:00:00,03/26/2020 23:00:00,12:00 AM,03/26/2020 00:00:00,6,Hobby,Photoshop,1,school,4,0,Thursday,
03-27,0:00:00,03/27/2020 00:00:00,1:00 AM,03/27/2020 01:00:00,6,Hobby,Photoshop,1,school,4,0,Friday,
03-27,1:00:00,03/27/2020 01:00:00,2:00 AM,03/27/2020 02:00:00,6,Hobby,Photoshop,1,school,4,0,Friday,
03-27,2:00:00,03/27/2020 02:00:00,3:00 AM,03/27/2020 03:00:00,6,Hobby,Photoshop,1,school,4,0,Friday,
03-27,12:00:00,03/27/2020 12:00:00,1:00 PM,03/27/2020 13:00:00,4,Socializing,Twitter,1,school,3,1,Friday,
03-27,15:00:00,03/27/2020 15:00:00,4:00 PM,03/27/2020 16:00:00,3,Social Media,Twitter,1,school,3,2,Friday,
03-28,0:00:00,03/28/2020 00:00:00,1:00 AM,03/28/2020 01:00:00,6,Hobby,Photoshop,1,school,3,0,Saturday,
03-28,16:00:00,03/28/2020 16:00:00,5:00 PM,03/28/2020 17:00:00,2,Media Consumption,Netflix,1,school,3,3,Saturday,
03-28,20:00:00,03/28/2020 20:00:00,9:00 PM,03/28/2020 21:00:00,3,Social Media,Twitter,1,school,3,4,Saturday,
03-28,21:00:00,03/28/2020 21:00:00,10:00 PM,03/28/2020 22:00:00,4,Socializing,Twitter,1,school,3,3,Saturday,
03-28,23:00:00,03/28/2020 23:00:00,12:00 AM,03/28/2020 00:00:00,4,Socializing,Twitter,1,school,3,2,Saturday,
03-29,12:00:00,03/29/2020 12:00:00,1:00 PM,03/29/2020 13:00:00,3,Social Media,Twitter,1,school,3,3,Sunday,
03-29,17:00:00,03/29/2020 17:00:00,6:00 PM,03/29/2020 18:00:00,4,Socializing,Twitter,1,school,3,2,Sunday,
03-29,18:00:00,03/29/2020 18:00:00,7:00 PM,03/29/2020 19:00:00,4,Socializing,Twitter,1,school,3,3,Sunday,
03-30,9:00:00,03/30/2020 09:00:00,10:00 AM,03/30/2020 10:00:00,3,Social Media,Twitter,1,school,3,4,Monday,
03-30,16:00:00,03/30/2020 16:00:00,5:00 PM,03/30/2020 17:00:00,4,Socializing,Movies with Friends,1,school,3,1,Monday,
03-30,17:00:00,03/30/2020 17:00:00,6:00 PM,03/30/2020 18:00:00,4,Socializing,Movies with Friends,1,school,3,2,Monday,
03-30,18:00:00,03/30/2020 18:00:00,7:00 PM,03/30/2020 19:00:00,4,Socializing,Movies with Friends,1,school,3,1,Monday,
03-30,19:00:00,03/30/2020 19:00:00,8:00 PM,03/30/2020 20:00:00,4,Socializing,Movies with Friends,1,school,3,2,Monday,
03-30,20:00:00,03/30/2020 20:00:00,9:00 PM,03/30/2020 21:00:00,4,Socializing,Movies with Friends,1,school,3,4,Monday,
03-30,22:00:00,03/30/2020 22:00:00,11:00 PM,03/30/2020 23:00:00,3,Social Media,Twitter,1,school,3,3,Monday,
03-31,11:00:00,03/31/2020 11:00:00,12:00 PM,03/31/2020 12:00:00,2,Media Consumption,Tiktok,1,school,4,3,Tuesday,
03-31,12:00:00,03/31/2020 12:00:00,1:00 PM,03/31/2020 13:00:00,3,Social Media,Twitter,1,school,4,4,Tuesday,
03-31,20:00:00,03/31/2020 20:00:00,9:00 PM,03/31/2020 21:00:00,4,Socializing,Movies with Friends,1,school,4,3,Tuesday,
03-31,21:00:00,03/31/2020 21:00:00,10:00 PM,03/31/2020 22:00:00,4,Socializing,Movies with Friends,1,school,4,1,Tuesday,
04-01,12:00:00,04/01/2020 12:00:00,1:00 PM,04/01/2020 13:00:00,3,Social Media,Twitter,1,school,4,2,Wednesday,
04-01,20:00:00,04/01/2020 20:00:00,9:00 PM,04/01/2020 21:00:00,3,Social Media,Games with Friends,1,school,4,0,Wednesday,
04-01,21:00:00,04/01/2020 21:00:00,10:00 PM,04/01/2020 22:00:00,3,Social Media,Games with Friends,1,school,4,0,Wednesday,
04-02,18:00:00,04/02/2020 18:00:00,7:00 PM,04/02/2020 19:00:00,3,Social Media,Twitter,2,school,4,3,Thursday,
04-02,19:00:00,04/02/2020 19:00:00,8:00 PM,04/02/2020 20:00:00,4,Socializing,Twitter,2,school,4,4,Thursday,
04-02,21:00:00,04/02/2020 21:00:00,10:00 PM,04/02/2020 22:00:00,4,Socializing,Movies with Friends,2,school,4,4,Thursday,
04-02,22:00:00,04/02/2020 22:00:00,11:00 PM,04/02/2020 23:00:00,5,ETC,Online Shopping,2,school,4,3,Thursday,
04-03,0:00:00,04/03/2020 00:00:00,1:00 AM,04/03/2020 01:00:00,3,Social Media,Twitter,2,school,4,3,Friday,
04-03,12:00:00,04/03/2020 12:00:00,1:00 PM,04/03/2020 13:00:00,2,Media Consumption,Netflix,2,school,4,1,Friday,
04-03,15:00:00,04/03/2020 15:00:00,4:00 PM,04/03/2020 16:00:00,3,Social Media,Twitter,2,school,4,2,Friday,
04-03,19:00:00,04/03/2020 19:00:00,8:00 PM,04/03/2020 20:00:00,4,Socializing,Twitter,2,school,4,3,Friday,
04-03,20:00:00,04/03/2020 20:00:00,9:00 PM,04/03/2020 21:00:00,6,Hobby,Photoshop,2,school,4,0,Friday,
04-03,21:00:00,04/03/2020 21:00:00,10:00 PM,04/03/2020 22:00:00,4,Socializing,Twitter,2,school,4,2,Friday,
04-03,22:00:00,04/03/2020 22:00:00,11:00 PM,04/03/2020 23:00:00,4,Socializing,Games with Friends,2,school,4,3,Friday,
04-03,23:00:00,04/03/2020 23:00:00,12:00 AM,04/03/2020 00:00:00,4,Socializing,Games with Friends,2,school,4,4,Friday,
04-04,0:00:00,04/04/2020 00:00:00,1:00 AM,04/04/2020 01:00:00,6,Hobby,Photoshop,2,school,4,0,Saturday,
04-04,13:00:00,04/04/2020 13:00:00,2:00 PM,04/04/2020 14:00:00,2,Media Consumption,Netflix,2,school,4,2,Saturday,
04-04,14:00:00,04/04/2020 14:00:00,3:00 PM,04/04/2020 15:00:00,2,Media Consumption,Netflix,2,school,4,1,Saturday,
04-04,15:00:00,04/04/2020 15:00:00,4:00 PM,04/04/2020 16:00:00,2,Media Consumption,Netflix,2,school,4,1,Saturday,
04-04,16:00:00,04/04/2020 16:00:00,5:00 PM,04/04/2020 17:00:00,2,Media Consumption,Netflix,2,school,4,0,Saturday,
04-04,17:00:00,04/04/2020 17:00:00,6:00 PM,04/04/2020 18:00:00,3,Social Media,Twitter,2,school,4,3,Saturday,
04-04,18:00:00,04/04/2020 18:00:00,7:00 PM,04/04/2020 19:00:00,4,Socializing,Twitter,2,school,4,4,Saturday,
04-04,22:00:00,04/04/2020 22:00:00,11:00 PM,04/04/2020 23:00:00,4,Socializing,Twitter,2,school,4,5,Saturday,
04-05,13:00:00,04/05/2020 13:00:00,2:00 PM,04/05/2020 14:00:00,4,Socializing,Twitter,2,school,4,3,Sunday,
04-05,21:00:00,04/05/2020 21:00:00,10:00 PM,04/05/2020 22:00:00,4,Socializing,Movies with Friends,2,school,4,4,Sunday,
04-05,22:00:00,04/05/2020 22:00:00,11:00 PM,04/05/2020 23:00:00,4,Socializing,Movies with Friends,2,school,4,5,Sunday,
04-06,1:00:00,04/06/2020 01:00:00,2:00 AM,04/06/2020 02:00:00,4,Socializing,Movies with Friends,3,school,4,4,Monday,
04-06,2:00:00,04/06/2020 02:00:00,3:00 AM,04/06/2020 03:00:00,4,Socializing,Movies with Friends,3,school,4,4,Monday,
04-06,22:00:00,04/06/2020 22:00:00,11:00 PM,04/06/2020 23:00:00,4,Socializing,Twitter,3,school,4,3,Monday,
04-07,0:00:00,04/07/2020 00:00:00,1:00 AM,04/07/2020 01:00:00,4,Socializing,Twitter,3,school,5,4,Tuesday,
04-07,12:00:00,04/07/2020 12:00:00,1:00 PM,04/07/2020 13:00:00,3,Social Media,Twitter,3,school,5,1,Tuesday,
04-07,13:00:00,04/07/2020 13:00:00,2:00 PM,04/07/2020 14:00:00,2,Media Consumption,Vlive,3,school,5,0,Tuesday,
04-07,23:00:00,04/07/2020 23:00:00,12:00 AM,04/07/2020 00:00:00,3,Social Media,Twitter + News,3,school,5,2,Tuesday,
04-08,0:00:00,04/08/2020 00:00:00,1:00 AM,04/08/2020 01:00:00,4,Socializing,Movies with Friends,2,school,5,3,Wednesday,
04-08,1:00:00,04/08/2020 01:00:00,2:00 AM,04/08/2020 02:00:00,4,Socializing,Movies with Friends,2,school,5,4,Wednesday,
04-08,2:00:00,04/08/2020 02:00:00,3:00 AM,04/08/2020 03:00:00,4,Socializing,Movies with Friends,2,school,5,1,Wednesday,
04-08,3:00:00,04/08/2020 03:00:00,4:00 AM,04/08/2020 04:00:00,4,Socializing,Movies with Friends,2,school,5,2,Wednesday,
04-08,4:00:00,04/08/2020 04:00:00,5:00 AM,04/08/2020 05:00:00,4,Socializing,Movies with Friends,2,school,5,3,Wednesday,
04-08,17:00:00,04/08/2020 17:00:00,6:00 PM,04/08/2020 18:00:00,3,Social Media,Twitter,2,school,5,5,Wednesday,
04-08,21:00:00,04/08/2020 21:00:00,10:00 PM,04/08/2020 22:00:00,4,Socializing,Games with Friends,2,school,5,4,Wednesday,
